feature,gain,split
road_enc,11062.27847801568,542
lm1,10704.82239665708,4752
lm2,2212.9851464836393,3764
lm3,1109.1104651968926,3287
ratio1,242.90981511212885,3212
g_p75,201.08589800458867,2632
g_med,190.468838800909,3468
is_hw,136.70742153725587,243
g_mu,121.87867661379278,2693
lv,115.71330149285495,100
g_p25,113.45335133431945,4099
ts_sin,107.03224525786936,2986
lanes2,102.28021012502722,796
time_slot,91.95588128454983,3725
gts_mu,78.17340417671949,2527
g_sd,72.40832516935188,3662
lm4,59.3460301279556,3303
g_iqr,49.38196154823527,3194
NumberofLanes,48.35480302828364,190
temp,39.05958837317303,4391
lm_f,36.07878921297379,214
ts_cos,33.73734336113557,2204
lm8,31.678017848636955,2660
lm5,28.3641068196157,2554
lm6,24.732384247588925,2799
lm10,18.65812462195754,2030
gts_sd,18.39385464694351,1160
lm12,16.775045526446775,1978
lm16,15.949462009826675,2125
lm24,14.661852118559182,1730
temp2,13.392823449568823,1545
hr,4.867050269851461,342
temp_x_peak,4.121441352646798,584
gmu_x_peak,2.616251894040033,361
wx_enc,1.1738715902902186,205
lanes_x_hw,0.6333846680354327,10
wx_x_peak,0.4602956606540829,81
is_epk,0.3657284441869706,23
is_quiet,0.28032167674973607,17
is_lunch,0.05185818043537438,7
is_mpk,0.026073350105434656,5
lp8,0.0,0
lp4,0.0,0
lp6,0.0,0
lp2,0.0,0
lp3,0.0,0
lp5,0.0,0
lp1,0.0,0
lp_d49t_1,0.0,0
lp_d49t_2,0.0,0
lp_d49t_3,0.0,0
lp_d49t_4,0.0,0
lp_d49t_5,0.0,0
lp_d49t_6,0.0,0
lp_d49t_7,0.0,0
lp_d49t_8,0.0,0
