feature,gain,split
road_enc,13747.31229786505,517
lm1,6899.0898106112145,3870
lm2,3347.1769346764777,3342
lm3,1126.5233368199551,3098
ratio1,191.17474426631816,2848
d49t_g_min,183.1309713413939,3514
d49t_g_mu,137.31123469246086,2615
g_mu,128.70142618124373,1673
g_p75,125.37246604938991,1432
g_med,104.96057361317798,1782
d49t_g_max,103.60742059105542,2714
lanes2,98.7197911463445,582
ts_sin,93.47407715534791,2800
is_hw,88.50301030208357,180
lv,79.71852651191875,78
time_slot,72.97435060131829,3340
lm5,72.35228890925646,2506
gts_mu,58.00839657592587,1593
lm4,52.77426107216161,2839
g_p25,47.67786620056722,2190
g_sd,39.22639957582578,2137
d49t_vs_d48,38.87587862100918,3628
ts_cos,33.258432045346126,2141
lm8,30.3688912387006,2544
temp,27.292196660884656,3552
lm_f,24.936089009977877,171
lm6,23.00425645732321,2541
d49t_g_sd,22.152645993512124,2460
hr,21.77571945427917,458
NumberofLanes,21.15196485258639,178
g_iqr,20.462352280505,1982
lm10,19.79366914741695,1735
lm12,17.69936084980145,2068
lm24,13.798868638463318,1739
lm16,13.357863343087956,1711
temp2,13.33196129812859,1772
lanes_x_hw,7.789093399420381,20
gts_sd,7.307490957318805,615
temp_x_peak,3.559423218946904,576
gmu_x_peak,2.5527791092172265,392
is_quiet,2.1531502888537943,17
is_epk,1.1016331056598574,31
wx_enc,0.7263154784450307,131
wx_x_peak,0.40337168145924807,72
is_lunch,0.21167373354546726,14
is_mpk,0.009814079850912094,2
lp6,0.0,0
lp4,0.0,0
lp5,0.0,0
lp8,0.0,0
lp2,0.0,0
lp1,0.0,0
lp3,0.0,0
lp_d49t_5,0.0,0
lp_d49t_4,0.0,0
lp_d49t_3,0.0,0
lp_d49t_2,0.0,0
lp_d49t_1,0.0,0
lp_d49t_8,0.0,0
lp_d49t_6,0.0,0
lp_d49t_7,0.0,0
